Adj Close,Open,Change,RSI,Ticker,Suggestion
15.74,16.34,-3.67%,47.25,AAL,-
132.94,131.61,1.01%,75.28,AAPL,-
36.36,35.93,1.2%,73.96,AIR,-
92.18,93.36,-1.26%,49.7,AMD,-
1660.0,1600.0,3.75%,60.46,AML.L,-
3201.59,3202.84,-0.04%,55.69,AMZN,-
48.83,49.27,-0.89%,26.56,AZN,-
221.57,223.28,-0.77%,51.93,BA,-
256.54,257.87,-0.52%,37.8,BABA,-
29.52,29.78,-0.87%,64.25,BAC,-
2048.53,2068.35,-0.96%,45.16,BKNG,-
259.15,255.0,1.63%,44.27,BP.L,BUY
223.09,223.58,-0.22%,41.14,BRK-B,-
140.02,140.0,0.01%,48.84,BYND,-
35.12,35.92,-2.23%,38.2,CAR,-
61.14,58.98,3.66%,53.82,CINE.L,-
227.87,227.0,0.38%,45.09,CRM,-
56.71,56.7,0.02%,49.72,DAI.DE,-
170.34,170.0,0.2%,66.36,DIS,-
315.8,322.8,-2.17%,41.44,DOM.L,-
8.8,8.98,-2.0%,42.26,F,-
269.36,271.5,-0.79%,37.29,FB,-
268.96,272.5,-1.3%,31.44,FDX,-
1736.26,1734.43,0.11%,39.42,GOOG,BUY
1724.46,1704.0,1.2%,53.54,GRG.L,-
36.14,36.12,0.06%,34.57,GSK,BUY
3.57,3.7,-3.51%,48.6,IAG,-
46.03,46.25,-0.48%,32.6,INTC,-
85.35,83.5,2.22%,72.37,IRBT,-
45.88,42.62,7.65%,74.62,JMIA,-
52.66,52.81,-0.28%,46.1,KO,-
34.77,33.91,2.54%,45.71,LLOY.L,-
211.69,211.2,0.23%,46.14,MCD,-
17.11,16.72,2.33%,61.58,MCFE,-
131.6,129.0,2.02%,48.68,MKS.L,-
224.52,222.69,0.82%,72.71,MSFT,-
524.58,527.69,-0.59%,59.63,NFLX,-
10.13,10.46,-3.15%,46.1,NG,-
0.01,0.01,0.0%,,NGAS.L,-
143.27,143.05,0.15%,67.9,NKE,-
528.76,532.77,-0.75%,47.71,NVDA,-
36.93,37.21,-0.75%,35.83,PFE,-
137.3,137.29,0.01%,45.18,PG,-
163.09,159.2,2.44%,86.16,PTON,-
1312.8,1300.0,0.98%,43.63,RDSA.L,BUY
59.25,63.1,-6.1%,38.02,RTN.L,-
52.04,52.59,-1.05%,62.67,SNAP,-
175.5,174.75,0.43%,54.57,SPLK,-
149.54,148.49,0.71%,78.47,TSCO,-
631.38,648.0,-2.56%,54.41,TSLA,-
55.17,55.0,0.31%,76.76,TWTR,-
52.64,52.11,1.02%,60.02,UBER,-
4327.79,4294.0,0.79%,42.32,ULVR.L,BUY
149.26,149.92,-0.44%,52.76,VOW3.DE,-
29.51,29.65,-0.47%,61.94,WFC,-
22.6,21.05,7.36%,54.04,WKHS,-
145.02,145.15,-0.09%,34.62,WMT,-
