Adj Close,Open,RSI,Ticker,Suggestion
16.7,17.52,61.69,AAL,-
121.78,122.6,55.15,AAPL,-
33.76,34.29,68.69,AIR,SELL
94.78,92.21,67.28,AMD,-
1529.2,1360.0,55.7,AML.L,-
3156.97,3143.0,51.37,AMZN,-
50.03,50.67,28.53,AZN,-
256.03,260.32,32.44,BABA,-
28.22,28.92,50.35,BAC,-
2066.01,2120.09,52.27,BKNG,-
269.75,278.0,55.96,BP.L,-
222.85,227.68,35.49,BRK-B,-
137.73,139.43,45.35,BYND,-
37.31,40.09,48.32,CAR,-
64.0,62.9,62.68,CINE.L,-
221.27,223.09,31.05,CRM,-
56.37,55.5,54.39,DAI.DE,-
169.3,173.8,72.68,DIS,SELL
328.2,330.0,51.96,DOM.L,-
8.91,9.13,47.01,F,-
274.19,273.37,44.89,FB,BUY
285.54,296.0,46.96,FDX,-
1760.06,1775.0,44.05,GOOG,-
1669.0,1671.0,45.01,GRG.L,-
36.83,37.66,42.23,GSK,-
3.46,3.51,44.74,IAG,-
50.47,49.82,61.27,INTC,-
76.16,75.36,45.51,IRBT,-
53.27,53.65,57.64,KO,-
35.73,34.99,49.26,LLOY.L,-
211.92,210.73,50.08,MCD,-
15.4,15.8,38.79,MCFE,-
134.75,133.0,54.71,MKS.L,-
214.2,213.1,51.6,MSFT,-
522.42,505.44,65.35,NFLX,-
9.82,9.99,37.33,NG,-
0.01,0.01,,NGAS.L,-
136.28,138.92,57.02,NKE,-
532.35,523.52,51.14,NVDA,-
39.21,41.62,49.64,PFE,-
135.85,137.02,34.84,PG,-
121.91,118.01,61.77,PTON,-
1360.2,1399.0,56.29,RDSA.L,-
61.3,61.2,39.79,RTN.L,BUY
51.6,53.68,67.07,SNAP,SELL
159.38,155.3,33.12,SPLK,BUY
140.53,139.45,62.87,TSCO,-
639.83,619.0,67.78,TSLA,-
52.02,51.97,80.54,TWTR,-
51.46,53.27,52.29,UBER,-
4363.0,4411.0,40.26,ULVR.L,-
139.68,140.4,38.72,VOW3.DE,-
28.64,29.54,58.23,WFC,-
21.39,21.9,43.41,WKHS,-
145.65,147.7,36.5,WMT,-
