Ticker,Price,PreviousClose,Change(%),RSI,Suggestion
TSLA,811.1900,880.0200,-7.8214%,68.6,SELL
RDSA.LON,1468.2000,1474.4000,-0.4205%,67.6,SELL
AIR,37.8000,37.9500,-0.3953%,65.9,SELL
SPLK,166.5100,165.4000,0.6711%,43.6,BUY
FDX,245.3100,244.9600,0.1429%,24.0,BUY
BAC,33.0700,32.5300,1.6600%,75.7,-
WFC,33.2400,33.1900,0.1506%,72.9,-
NKE,147.0500,146.3500,0.4783%,70.2,-
BP.LON,298.7000,295.0000,1.2542%,69.8,-
DIS,179.0900,178.6900,0.2239%,68.5,-
GRG.LON,1930.0000,1901.0000,1.5255%,67.7,-
CINE.LON,69.3400,67.7600,2.3318%,65.5,-
SNAP,54.3800,52.7300,3.1291%,65.0,-
TSCO,149.5000,149.3100,0.1273%,64.9,-
BRK-B,234.0300,232.8800,0.4938%,63.5,-
MCFE,18.3000,17.4100,5.1120%,63.3,-
AMD,97.2500,94.5800,2.8230%,63.0,-
INTC,51.5400,51.6500,-0.2130%,61.0,-
F,9.3000,9.0000,3.3333%,60.8,-
IRBT,87.0600,83.9200,3.7417%,60.3,-
WKHS,25.7600,25.5650,0.7628%,59.8,-
BKNG,2221.2700,2281.5400,-2.6416%,59.4,-
PTON,152.3400,158.8800,-4.1163%,58.9,-
CAR,38.9800,37.3500,4.3641%,58.4,-
UBER,54.5900,53.2800,2.4587%,57.5,-
GSK,37.9300,38.3400,-1.0694%,57.3,-
NVDA,544.8600,531.0700,2.5966%,56.8,-
RTN.LON,68.6500,64.1000,7.0983%,56.7,-
WMT,147.2900,146.6300,0.4501%,55.7,-
DAI.DE,57.6900,57.7900,-0.1730%,55.1,-
DOM.LON,335.0000,333.0000,0.6006%,55.1,-
MKS.LON,137.9000,141.3500,-2.4407%,54.2,-
LLOY.LON,36.8250,36.8900,-0.1762%,53.5,-
MCD,214.2300,215.8700,-0.7597%,52.9,-
GOOG,1766.7200,1807.2100,-2.2405%,52.1,-
ULVR.LON,4450.0000,4447.0000,0.0675%,52.1,-
AAPL,128.9800,132.0500,-2.3249%,51.9,-
PFE,37.7700,37.1300,1.7237%,51.9,-
ABNB,148.1300,149.7700,-1.0950%,51.8,-
NG.LON,880.0000,879.8000,0.0227%,51.4,-
JMIA,36.4800,37.2200,-1.9882%,50.3,-
MSFT,217.4900,219.6200,-0.9699%,49.3,-
NGAS.LON,0.0126,0.0126,0.0000%,49.3,-
PG,137.8500,138.7900,-0.6773%,48.0,-
VOW3.DE,146.4600,148.2000,-1.1741%,46.8,-
AZN,50.5600,50.8600,-0.5899%,46.3,-
AAL,15.0000,15.1300,-0.8592%,44.7,-
NFLX,499.1000,510.4000,-2.2139%,43.7,-
BA,206.7900,209.9000,-1.4817%,42.9,-
NCNO,71.3300,73.0600,-2.3679%,42.8,-
AMZN,3114.2100,3182.7000,-2.1519%,42.6,-
IAG,3.3900,3.4900,-2.8653%,41.0,-
CRM,218.2500,222.0400,-1.7069%,39.4,-
BABA,227.3700,236.1900,-3.7343%,39.0,-
KO,50.2000,51.0800,-1.7228%,37.5,-
FB,256.8400,267.5700,-4.0102%,36.0,-
TWTR,48.1800,51.4800,-6.4103%,34.6,-
BYND,116.6400,118.1000,-1.2362%,29.7,-
