Ticker,Price,PreviousClose,Change(%),RSI,Suggestion
TSLA,880.0200,816.0400,7.8403%,83.8,-
BP.LON,298.7000,295.0000,1.2542%,69.8,-
NKE,146.3500,144.9500,0.9659%,69.0,-
DIS,178.6900,178.5800,0.0616%,68.1,-
BKNG,2281.5400,2239.8500,1.8613%,67.9,-
GRG.LON,1930.0000,1901.0000,1.5255%,67.7,-
CINE.LON,69.3400,67.7600,2.3318%,65.5,-
PTON,158.8800,154.0000,3.1688%,64.9,-
TSCO,149.3100,147.1200,1.4886%,64.6,-
BRK-B,234.0300,232.8800,0.4938%,63.5,-
GSK,38.3400,38.0700,0.7092%,62.6,-
INTC,51.6500,52.1900,-1.0347%,61.7,-
SNAP,52.7300,52.4400,0.5530%,61.1,-
GOOG,1807.2100,1787.2500,1.1168%,61.0,-
WKHS,25.5650,27.6000,-7.3732%,59.3,-
AAPL,132.0500,130.9200,0.8631%,57.7,-
AMD,94.5800,95.1600,-0.6095%,57.6,-
MCFE,17.4100,17.0000,2.4118%,56.8,-
MCD,215.8700,211.9800,1.8351%,56.7,-
RTN.LON,68.6500,64.1000,7.0983%,56.7,-
DAI.DE,57.6900,57.7900,-0.1730%,55.1,-
DOM.LON,335.0000,333.0000,0.6006%,55.1,-
IRBT,83.9200,84.9700,-1.2357%,55.1,-
UBER,53.2800,56.1300,-5.0775%,54.4,-
MKS.LON,137.9000,141.3500,-2.4407%,54.2,-
F,9.0000,9.0600,-0.6623%,54.0,-
LLOY.LON,36.8250,36.8900,-0.1762%,53.5,-
ABNB,149.7700,151.2700,-0.9916%,52.9,-
WMT,146.6300,146.6500,-0.0136%,52.9,-
MSFT,219.6200,218.2900,0.6093%,52.6,-
CAR,37.3500,37.6300,-0.7441%,52.4,-
ULVR.LON,4450.0000,4447.0000,0.0675%,52.1,-
PG,138.7900,138.8500,-0.0432%,51.8,-
JMIA,37.2200,37.8500,-1.6645%,51.6,-
NVDA,531.0700,533.7600,-0.5040%,51.6,-
NG.LON,880.0000,879.8000,0.0227%,51.4,-
NGAS.LON,0.0126,0.0126,0.0000%,49.3,-
AMZN,3182.7000,3162.1600,0.6496%,48.7,-
NFLX,510.4000,508.8900,0.2967%,48.3,-
AZN,50.8600,50.1900,1.3349%,48.1,-
TWTR,51.4800,52.3300,-1.6243%,47.8,-
VOW3.DE,146.4600,148.2000,-1.1741%,46.8,-
PFE,37.1300,37.0600,0.1889%,46.2,-
AAL,15.1300,15.3800,-1.6255%,45.9,-
BA,209.9000,212.7100,-1.3210%,45.8,-
NCNO,73.0600,71.3500,2.3966%,45.3,-
FB,267.5700,268.7400,-0.4354%,44.5,-
IAG,3.4900,3.7100,-5.9299%,44.3,-
BYND,118.1000,120.7000,-2.1541%,30.9,-
FDX,244.9600,246.0300,-0.4349%,23.4,-
